Ward name,New code,Population density (persons per sq km) - 2013,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Average GCSE capped point scores - 2014,A-Level Average Point Score Per Student - 2013/14,"Deliberate Fires per 1,000 population - 2014"
Haringey - Crouch End,E05000269,"8,964",7537,80.9,"£563,750",366,770.7,0.2
Haringey - Fortis Green,E05000270,"6,400",6423,75.9,"£465,000",375,791.6,0.5
Haringey - Harringay,E05000271,"8,563",7404,71.8,"£430,000",303,709,0.2
Haringey - Highgate,E05000272,"4,740",6704,79,"£732,500",316,669.3,0.2
Haringey - Hornsey,E05000273,"11,727",6753,72.4,"£419,000",329,685.1,0.1
Haringey - Muswell Hill,E05000274,"6,412",5922,78.4,"£820,000",375,841,0.6
Haringey - Noel Park,E05000275,"11,958",6382,63.2,"£350,000",302,648.9,0.7
Haringey - Northumberland Park,E05000276,"7,763",4914,52.3,"£252,500",293,626.1,0.6
Haringey - St. Ann's,E05000277,"14,000",7038,65.6,"£370,000",305,675.4,0.5
Haringey - Seven Sisters,E05000278,"12,500",6671,63.7,"£372,500",320,643.7,0.7
Haringey - Stroud Green,E05000279,"10,909",6982,77.3,"£477,500",335,751.4,0.2
Haringey - Tottenham Green,E05000280,"10,929",6379,61.3,"£326,500",292,638.2,0.5
Haringey - Tottenham Hale,E05000281,"8,553",5816,56.3,"£251,500",301,633.3,0.4
Haringey - West Green,E05000282,"9,821",5989,63.3,"£350,000",309,691.2,0.7
Haringey - White Hart Lane,E05000283,"8,059",4726,54.8,"£267,000",315,632.6,0.5
Haringey - Woodside,E05000284,"10,000",6992,66.6,"£345,000",301,677.2,0.4
Harrow - Belmont,E05000285,"6,444",5355,71.8,"£435,000",356,746.3,0.2
Harrow - Canons,E05000286,"2,339",5566,71.9,"£402,500",341,760.7,0.2
Harrow - Edgware,E05000287,"8,571",5458,68.6,"£357,500",334,700.1,0.2
Harrow - Greenhill,E05000288,"7,618",6427,71.1,"£272,000",318,756.2,0.3
Harrow - Harrow on the Hill,E05000289,"3,528",5651,68.2,"£343,000",343,729.8,0.2
Harrow - Harrow Weald,E05000290,"2,533",4964,69.1,"£384,000",324,726.9,0.1
Harrow - Hatch End,E05000291,"3,303",4812,73.2,"£500,000",351,773.7,0.1
Harrow - Headstone North,E05000292,"3,136",4873,73.8,"£427,500",360,729.8,0.1
Harrow - Headstone South,E05000293,"7,667",5406,71.7,"£322,500",351,794.5,0.2
Harrow - Kenton East,E05000294,"8,846",5251,68.5,"£380,000",337,724.7,0.1
Harrow - Kenton West,E05000295,"6,389",5430,71.6,"£434,475",342,702.2,0.2
Harrow - Marlborough,E05000296,"8,000",5758,68.4,"£268,950",323,689.6,0.5
Harrow - Pinner,E05000297,"3,106",4466,71.8,"£400,000",332,766.4,0.5
Harrow - Pinner South,E05000298,"4,417",4833,75.2,"£520,000",369,866.2,0.1
